created_by,created_date,updated_date,updated_by,member_id,workspace_id,tenant_id
system,2024-04-04 21:08:05.992000 +00:00,2024-04-04 21:08:11.672000 +00:00,system,3,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:06.644000 +00:00,2024-04-04 21:08:12.204000 +00:00,system,4,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:10.461000 +00:00,2024-04-04 21:08:16.183000 +00:00,system,11,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:07.804000 +00:00,2024-04-04 21:08:13.381000 +00:00,system,6,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:04.758000 +00:00,2024-04-04 21:08:11.144000 +00:00,system,1,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:09.900000 +00:00,2024-04-04 21:08:15.586000 +00:00,system,10,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:09.399000 +00:00,2024-04-04 21:08:14.988000 +00:00,system,9,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:08.849000 +00:00,2024-04-04 21:08:14.404000 +00:00,system,8,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:08.340000 +00:00,2024-04-04 21:08:13.890000 +00:00,system,7,1,alexandru.contu99@gmail.com
system,2024-04-04 21:08:07.241000 +00:00,2024-04-04 21:08:12.811000 +00:00,system,5,1,alexandru.contu99@gmail.com
system,2024-04-04 21:09:36.703000 +00:00,2024-04-04 21:09:39.362000 +00:00,system,12,2,someoneelse@gmail.com
system,2024-04-04 21:09:37.851000 +00:00,2024-04-04 21:09:39.891000 +00:00,system,13,2,someoneelse@gmail.com
system,2024-04-04 21:09:38.353000 +00:00,2024-04-04 21:09:40.366000 +00:00,system,14,2,someoneelse@gmail.com
system,2024-04-04 21:09:38.834000 +00:00,2024-04-04 21:09:40.855000 +00:00,system,15,2,someoneelse@gmail.com
system,2024-04-04 21:09:51.821000 +00:00,2024-04-04 21:09:50.830000 +00:00,system,2,2,someoneelse@gmail.com
